,Scientific.Name,seqs,Species.Group,CRPR,Literature.Count,area
3422,Keckiella corymbosa,4,Flowering Plants - Dicots,native,25,19220.6557
3423,Keckiella lemmonii,4,Flowering Plants - Dicots,native,22,19220.6557
3424,Keckiella rothrockii,4,Flowering Plants - Dicots,native,9,5563.874019
3425,Keckiella ternata,6,Flowering Plants - Dicots,native,34,19473.55907
3426,Kelloggia galioides,17,Flowering Plants - Dicots,native,139,53362.60991
3427,Kickxia elatine,26,Flowering Plants - Dicots,weed,1460,144407.8212
3428,Kickxia spuria,29,Flowering Plants - Dicots,weed,1190,130028.4585
3429,Kniphofia uvaria,34,Flowering Plants - Monocots,weed,641,69006.48951
3430,Kobresia myosuroides,55,Flowering Plants - Monocots,2B.2,2413,108206.511
3431,Kochia americana,9,Flowering Plants - Dicots,native,586,4769.034877
3432,Kochia californica,4,Flowering Plants - Dicots,native,64,1083.871563
3433,Koeberlinia spinosa var. tenuispina,1,Flowering Plants - Dicots,2B.2,19,505.806729
3434,Koeleria macrantha,67,Flowering Plants - Monocots,native,16607,907670.1752
3435,Krameria erecta,10,Flowering Plants - Dicots,native,925,104449.0895
3436,Krascheninnikovia lanata,1154,Flowering Plants - Dicots,native,4270,63009.06686
3437,Kyllinga brevifolia,22,Flowering Plants - Monocots,weed,2300,0
3438,Lactuca biennis,33,Flowering Plants - Dicots,native,457,150730.4052
3439,Lactuca canadensis,61,Flowering Plants - Dicots,weed,1850,75329.07363
3440,Lactuca ludoviciana,27,Flowering Plants - Dicots,weed,265,11922.58719
3441,Lactuca saligna,30991,Flowering Plants - Dicots,weed,2200,155391.0531
3442,Lactuca serriola,122976,Flowering Plants - Dicots,weed,15200,183896.8752
3443,Lactuca virosa,30193,Flowering Plants - Dicots,weed,3240,123091.6805
3444,Laennecia coulteri,6,Flowering Plants - Dicots,native,195,51086.47963
3445,Lagophylla diabolensis,1,Flowering Plants - Dicots,1B.2,4,758.7100935
3446,Lagophylla dichotoma,1,Flowering Plants - Dicots,1B.1,12,252.9033645
3447,Lagophylla glandulosa,2,Flowering Plants - Dicots,native,20,8851.617758
3448,Lagophylla minor,0,Flowering Plants - Dicots,native,27,3540.647103
3449,Lagophylla ramosissima,20,Flowering Plants - Dicots,native,89,54374.22337
3450,Lagurus ovatus,44,Flowering Plants - Monocots,weed,2850,119153.6138
3451,Lamarckia aurea,27,Flowering Plants - Monocots,weed,1020,124067.1649
3452,Lamiastrum galeobdolon,249,Flowering Plants - Dicots,weed,7942,67525.19837
3453,Lamium amplexicaule,236,Flowering Plants - Dicots,weed,9630,185305.9082
